hours;seasons;monthArray;weekdays;daysOfYear;redDays;wind_speed;air_temperature;relative_humidity;wind_from_direction;air_pressure_at_sea_level;clouds;precipitation;NOxHjortnes;NOxBygdoyAlle;NOxE6Alna;NOxKirkeveien;NOxManglerud;NOxSmestad;NOxBrynSkole
0;1;1;1;1;1;0.5;2.8;95.0;310.0;995.3;3.7;0.0;137.843666;99.394977;82.564571;90.824089;59.595161;64.139577;35.551764
1;1;1;1;1;1;3.9;5.7;75.0;265.0;994.3;3.7;0.0;16.046653;100.525773;27.582306;28.164343;17.942352;49.12489;22.148734
2;1;1;1;1;1;2.6;4.4;79.0;215.0;993.1;3.7;0.0;2.996148;37.046886;10.891762;10.146208;5.023634;51.231581;6.264399
3;1;1;1;1;1;5.7;4.4;71.0;215.0;991.7;3.7;0.0;1.255268;41.552591;10.457313;19.97865;3.868638;20.761974;3.812255
4;1;1;1;1;1;3.2;3.9;76.0;221.0;991.5;3.7;0.0;5.821665;49.210508;11.577419;27.671938;1.942225;36.332959;3.730344
5;1;1;1;1;1;3.3;3.8;76.0;239.0;991.8;3.7;0.0;11.258021;41.784303;10.870007;11.614016;7.344168;16.444814;14.247312
6;1;1;1;1;1;6.7;5.7;62.0;295.0;991.7;3.7;0.0;3.42737;26.4773;12.029395;0.642256;11.7819;16.532652;8.079614
7;1;1;1;1;1;5.5;6.0;57.0;299.0;992.8;3.7;0.0;21.478228;37.062548;14.015921;0.711061;9.276936;20.731002;6.301375
8;1;1;1;1;1;1.9;5.3;58.0;275.0;993.6;3.7;0.0;53.665991;70.390328;18.838833;3.62398;11.979029;26.402336;13.621458
9;1;1;1;1;1;3.1;5.4;60.0;209.0;993.9;3.7;0.0;37.135676;94.037863;17.526365;11.647266;9.281186;34.974959;6.604808
10;1;1;1;1;1;3.9;6.8;48.0;282.0;995.0;3.7;0.0;29.740012;70.8492;20.763715;2.463942;13.719016;47.136363;3.568174
11;1;1;1;1;1;5.6;7.3;46.0;302.0;996.0;3.7;0.0;37.133732;37.075082;18.38918;2.714234;27.414062;22.730805;3.561154
12;1;1;1;1;1;8.8;7.4;44.0;326.0;997.5;3.7;0.0;44.74493;38.2042;7.286029;2.387786;27.994854;21.584294;3.123333
13;1;1;1;1;1;4.7;7.0;45.0;326.0;999.9;3.7;0.0;53.008584;43.837482;10.986167;4.836722;33.975722;20.052096;4.836254
14;1;1;1;1;1;6.3;6.8;44.0;325.0;1001.8;3.7;0.0;55.617479;38.435757;12.723307;4.506715;33.399389;20.48423;4.781897
15;1;1;1;1;1;5.8;6.2;43.0;325.0;1003.6;3.7;0.0;55.399;40.015474;12.654371;5.075024;32.244465;27.288801;4.384844
16;1;1;1;1;1;5.9;5.8;43.0;327.0;1005.4;3.7;0.0;53.005624;37.541209;6.362634;4.823124;24.725064;18.51473;4.165176
17;1;1;1;1;1;7.5;5.1;46.0;329.0;1007.5;3.7;0.0;33.213089;34.841543;7.853139;4.425049;18.748497;20.058153;3.142148
18;1;1;1;1;1;10.7;5.0;44.0;349.0;1010.1;3.7;0.0;25.599995;37.322267;4.832589;3.301327;15.664837;18.87129;4.771611
19;1;1;1;1;1;8.6;4.4;47.0;353.0;1012.6;3.7;0.0;25.599033;31.694164;6.44966;3.069907;22.995882;14.764531;6.554374
20;1;1;1;1;1;7.9;3.7;45.0;350.0;1014.2;3.7;0.0;19.94336;23.362593;5.80355;2.475374;13.54762;10.476878;5.983182
21;1;1;1;1;1;9.3;3.6;46.0;345.0;1016.0;3.7;0.0;12.330298;27.870567;4.83636;1.213381;10.078153;8.079504;5.629071
22;1;1;1;1;1;9.9;3.4;45.0;346.0;1017.6;3.7;0.0;12.764327;20.664669;3.749037;-0.044273;7.765861;5.876045;5.839247
